24 10 202218:59
istancia estimada:0.626865
istancia estimada:0.536495
istancia estimada:0.459152
-0.083856,0.211329
istancia estimada:0.677608
istancia estimada:0.579922
istancia estimada:0.496319
-0.090644,0.208199
istancia estimada:0.677608
istancia estimada:0.579922
istancia estimada:0.496319
-0.090644,0.208199
istancia estimada:0.677608
istancia estimada:0.579922
istancia estimada:0.496319
-0.090644,0.208199
istancia estimada:0.677608
istancia estimada:0.626865
istancia estimada:0.496319
-0.090644,0.184727
istancia estimada:0.677608
istancia estimada:0.626865
istancia estimada:0.496319
-0.090644,0.184727
istancia estimada:0.626865
istancia estimada:0.579922
istancia estimada:0.496319
-0.065273,0.208199
istancia estimada:0.626865
istancia estimada:0.579922
istancia estimada:0.496319
-0.065273,0.208199
istancia estimada:0.677608
istancia estimada:0.579922
istancia estimada:0.496319
-0.090644,0.208199
istancia estimada:0.626865
istancia estimada:0.579922
istancia estimada:0.496319
-0.065273,0.208199
istancia estimada:0.732458
istancia estimada:0.579922
istancia estimada:0.496319
-0.118069,0.208199
istancia estimada:0.677608
istancia estimada:0.626865
istancia estimada:0.496319
-0.090644,0.184727
